iter	RMSE
0	5.043632071
1	5.037185929
2	5.029795673
3	5.022883339
4	5.0142744
5	5.008992551
6	5.003686617
7	4.999076177
8	4.994313856
9	4.989928066
10	4.985660144
11	4.982253355
12	4.978065523
13	4.973449991
14	4.969790591
15	4.96655284
16	4.962328278
17	4.958759152
18	4.954724589
19	4.951068351
20	4.947095579
21	4.943257726
22	4.940839928
23	4.937598524
24	4.935310364
25	4.930981002
26	4.927563024
27	4.923938332
28	4.919527373
29	4.915836297
30	4.912640596
31	4.910620191
32	4.908021859
33	4.905511264
34	4.903160534
35	4.900582602
36	4.89784575
37	4.896008065
38	4.893994886
39	4.890775664
40	4.888107153
41	4.885522439
42	4.882975126
43	4.879851932
44	4.877299615
45	4.872790487
46	4.869752991
47	4.866376315
48	4.863642728
49	4.861195963
50	4.859362135
51	4.856616723
52	4.853472104
53	4.85050497
54	4.848439878
55	4.846157106
56	4.842968321
57	4.840903115
58	4.839055111
59	4.837152196
60	4.835180782
61	4.832139973
62	4.831009718
63	4.827758438
64	4.825860573
65	4.824271776
66	4.822706021
67	4.820920761
68	4.81945775
69	4.816693717
70	4.813357983
71	4.810129315
72	4.807048154
73	4.804493723
74	4.802267906
75	4.800861761
76	4.799173495
77	4.796554374
78	4.794860419
79	4.792033614
80	4.790354934
81	4.787131254
82	4.783634714
83	4.781870935
84	4.77786986
85	4.775787059
86	4.773110464
87	4.77046775
88	4.767189386
89	4.765600674
90	4.764518016
91	4.762406044
92	4.760379753
93	4.757759485
94	4.756695248
95	4.755031142
96	4.752191608
97	4.750130056
98	4.748377871
99	4.747026546
100	4.745658311
101	4.742797498
102	4.741199186
103	4.739414233
104	4.737097291
105	4.735258071
106	4.734376369
107	4.731927858
108	4.730310002
109	4.72870252
110	4.726708402
111	4.724986364
112	4.722150389
113	4.719830179
114	4.717915874
115	4.716720834
116	4.715013989
117	4.713534932
118	4.711124851
119	4.709283409
120	4.706228477
121	4.704793851
122	4.703234501
123	4.702093442
124	4.699848253
125	4.697373857
126	4.695653577
127	4.694438366
128	4.691654403
129	4.690300242
130	4.687684215
131	4.685259073
132	4.684336212
133	4.681110206
134	4.678796047
135	4.677222957
136	4.675851599
137	4.674522056
138	4.672678929
139	4.670226518
140	4.667687425
141	4.666003234
142	4.664542786
143	4.663411709
144	4.661399341
145	4.65927955
146	4.657446147
147	4.656358569
148	4.655197593
149	4.65328148
150	4.651674207
151	4.649444914
152	4.647753164
153	4.646280189
154	4.645299377
155	4.644078677
156	4.643301323
157	4.642090481
158	4.640761592
159	4.63897841
160	4.636760612
161	4.634301983
162	4.632367989
163	4.629874746
164	4.627803064
165	4.625368292
166	4.623899549
167	4.622151792
168	4.620781922
169	4.618731927
170	4.616580267
171	4.614693912
172	4.613458718
173	4.611661285
174	4.61055584
175	4.60892306
176	4.607803989
177	4.605582833
178	4.603446303
179	4.601432298
180	4.599845221
181	4.598092071
182	4.596012297
183	4.594975018
184	4.592589423
185	4.590967409
186	4.589923463
187	4.588362542
188	4.586594277
189	4.584572819
190	4.582584498
191	4.581876177
192	4.580457944
193	4.577980869
194	4.57597515
195	4.574845512
196	4.573338444
197	4.57007758
198	4.568175284
199	4.565824503
200	4.563921891
201	4.562209791
202	4.559676089
203	4.558317954
204	4.556559302
205	4.55430555
206	4.553318001
207	4.55101841
208	4.549344135
209	4.547402299
210	4.54452615
211	4.5425308
212	4.540272413
213	4.537489618
214	4.535653051
215	4.53375355
216	4.530722085
217	4.529337441
218	4.528041098
219	4.527107838
220	4.52548235
221	4.522854689
222	4.521362101
223	4.518954049
224	4.515693317
225	4.513700782
226	4.511652231
227	4.51052135
228	4.508802024
229	4.508262384
230	4.505545052
231	4.503843529
232	4.501374738
233	4.499097736
234	4.497350822
235	4.49588296
236	4.494722316
237	4.492093606
238	4.490328474
239	4.488058961
240	4.486403618
241	4.483989805
242	4.481903099
243	4.479158798
244	4.4779206
245	4.476420616
246	4.47379117
247	4.472318902
248	4.469898428
249	4.46767064
250	4.465984554
251	4.464307696
252	4.461719789
253	4.459948281
254	4.45772376
255	4.456334378
256	4.453373342
257	4.450107695
258	4.447568933
259	4.445555551
260	4.443937236
261	4.441403733
262	4.438490845
263	4.436244616
264	4.433798438
265	4.432992012
266	4.430934778
267	4.428294795
268	4.42646219
269	4.42526247
270	4.422968932
271	4.421199196
272	4.418782951
273	4.416592861
274	4.414323889
275	4.412970208
276	4.409448267
277	4.40739625
278	4.406358142
279	4.40379382
280	4.400542838
281	4.399238393
282	4.398407866
283	4.395914769
284	4.394339149
285	4.392158108
286	4.389905648
287	4.387587221
288	4.385681328
289	4.383216978
290	4.382328455
291	4.381127393
292	4.379085345
293	4.376875808
294	4.37464507
295	4.372549228
296	4.371154028
297	4.369103496
298	4.367135294
299	4.365167763
300	4.363779499
301	4.362086065
302	4.360777358
303	4.358705407
304	4.356902537
305	4.354707821
306	4.353057022
307	4.351367195
308	4.350014731
309	4.347314036
310	4.34519048
311	4.342017177
312	4.339463899
313	4.337909319
314	4.337421306
315	4.335198845
316	4.333112013
317	4.3310992
318	4.33028134
319	4.327813295
320	4.325338342
321	4.32386468
322	4.3224374
323	4.32058218
324	4.318095818
325	4.31582414
326	4.314517783
327	4.312804157
328	4.311725751
329	4.310012599
330	4.308160064
331	4.307090691
332	4.305424078
333	4.304277934
334	4.30244166
335	4.299966442
336	4.298561161
337	4.295996338
338	4.295138259
339	4.29348481
340	4.292435891
341	4.290523201
342	4.28913422
343	4.287934896
344	4.286657052
345	4.285436995
346	4.283707854
347	4.281827861
348	4.280621825
349	4.279016458
350	4.277088989
351	4.274872082
352	4.273487256
353	4.271741691
354	4.270307401
355	4.267403103
356	4.266134239
357	4.263293018
358	4.261309592
359	4.259404279
360	4.258571834
361	4.256916068
362	4.254903151
363	4.253858264
364	4.252746115
365	4.250864858
366	4.249816882
367	4.248475061
368	4.24670071
369	4.245743506
370	4.243605539
371	4.242529059
372	4.241064448
373	4.238836437
374	4.237630226
375	4.236226865
376	4.234491999
377	4.2326723
378	4.231826825
379	4.230638197
380	4.229019817
381	4.22730797
382	4.225537496
383	4.224448553
384	4.223235699
385	4.222413693
386	4.2204314
387	4.219365717
388	4.218695869
389	4.217358782
390	4.216427974
391	4.214833176
392	4.212943817
393	4.211217066
394	4.2091943
395	4.207663641
396	4.205766804
397	4.205198132
398	4.203385912
399	4.202108032
400	4.200189457
401	4.199195106
402	4.197185136
403	4.195050768
404	4.193348624
405	4.192563068
406	4.191150463
407	4.188278656
408	4.186776296
409	4.185092546
410	4.184127636
411	4.182777351
412	4.181226425
413	4.17945967
414	4.177945742
415	4.17644478
416	4.174638735
417	4.173421032
418	4.171716834
419	4.170134685
420	4.168438426
421	4.167089871
422	4.16555845
423	4.163933792
424	4.162229108
425	4.160713199
426	4.159282003
427	4.157436616
428	4.154894161
429	4.152958283
430	4.151269628
431	4.148869027
432	4.147362169
433	4.145105436
434	4.143899694
435	4.142701934
436	4.140987197
437	4.139480546
438	4.137325619
439	4.135352036
440	4.134038934
441	4.131739124
442	4.130868295
443	4.129686813
444	4.127397985
445	4.125752639
446	4.12445332
447	4.123181888
448	4.121720654
449	4.12043103
450	4.11883502
451	4.117837106
452	4.116770147
453	4.115872215
454	4.113911415
455	4.111831728
456	4.109612233
457	4.108282196
458	4.106393589
459	4.105300858
460	4.102917943
461	4.101931064
462	4.100525243
463	4.099046
464	4.098093449
465	4.096339563
466	4.094467447
467	4.093428216
468	4.092720867
469	4.091565454
470	4.088879924
471	4.086590476
472	4.085321465
473	4.084431878
474	4.082890864
475	4.081031794
476	4.079429819
477	4.078065405
478	4.077156013
479	4.075939529
480	4.074639774
481	4.07227782
482	4.070967499
483	4.069085011
484	4.067523908
485	4.066473847
486	4.064450265
487	4.062958633
488	4.061177101
489	4.060087729
490	4.059028818
491	4.058028841
492	4.056831966
493	4.055693055
494	4.05513532
495	4.053270247
496	4.051936399
497	4.050880497
498	4.049593288
499	4.047174884
500	4.046037878
501	4.044632734
502	4.043269734
503	4.042643661
504	4.040845915
