iter	Passed	Remaining
0	2	2618
1	5	2553
2	7	2476
3	9	2425
4	12	2435
5	14	2401
6	16	2376
7	19	2409
8	21	2388
9	24	2376
10	26	2369
11	28	2357
12	30	2348
13	33	2345
14	35	2344
15	38	2340
16	40	2341
17	42	2332
18	45	2331
19	47	2328
20	49	2320
21	52	2320
22	54	2316
23	56	2310
24	59	2309
25	61	2313
26	64	2308
27	66	2315
28	69	2315
29	71	2309
30	73	2305
31	75	2298
32	78	2292
33	80	2289
34	82	2284
35	85	2287
36	87	2288
37	90	2282
38	92	2278
39	94	2276
40	97	2270
41	99	2277
42	102	2276
43	104	2275
44	107	2285
45	110	2288
46	112	2286
47	115	2287
48	117	2281
49	120	2280
50	122	2278
51	124	2276
52	127	2278
53	129	2275
54	132	2272
55	134	2270
56	136	2266
57	139	2262
58	141	2260
59	144	2257
60	146	2257
61	149	2256
62	151	2254
63	153	2252
64	156	2251
65	158	2247
66	161	2246
67	163	2242
68	166	2241
69	168	2239
70	170	2234
71	173	2230
72	175	2227
73	177	2225
74	180	2223
75	182	2220
76	184	2216
77	187	2214
78	189	2212
79	192	2209
80	194	2205
81	196	2201
82	199	2200
83	201	2197
84	203	2195
85	206	2191
86	208	2189
87	210	2185
88	213	2182
89	215	2182
90	218	2178
91	220	2175
92	222	2172
93	225	2168
94	227	2165
95	229	2162
96	231	2158
97	234	2155
98	236	2152
99	238	2149
100	241	2146
101	243	2143
102	245	2139
103	248	2137
104	250	2134
105	252	2131
106	254	2127
107	257	2125
108	259	2122
109	261	2119
110	264	2116
111	266	2115
112	269	2116
113	271	2113
114	274	2110
115	276	2108
116	278	2105
117	281	2104
118	283	2101
119	286	2098
120	288	2096
121	291	2095
122	293	2092
123	295	2090
124	298	2087
125	300	2084
126	302	2081
127	305	2079
128	307	2076
129	309	2073
130	312	2071
131	314	2068
132	316	2065
133	319	2062
134	321	2059
135	323	2058
136	326	2054
137	328	2052
138	331	2050
139	333	2047
140	335	2044
141	337	2041
142	340	2038
143	342	2035
144	344	2033
145	347	2030
146	349	2026
147	351	2024
148	353	2021
149	356	2018
150	358	2016
151	360	2013
152	363	2010
153	365	2007
154	367	2004
155	370	2002
156	372	1999
157	374	1996
158	377	1994
159	379	1992
160	381	1989
161	384	1987
162	386	1984
163	388	1981
164	391	1979
165	393	1977
166	395	1974
167	398	1972
168	400	1969
169	402	1966
170	405	1964
171	407	1961
172	409	1958
173	411	1955
174	414	1952
175	416	1949
176	418	1947
177	421	1945
178	423	1942
179	426	1941
180	428	1938
181	430	1935
182	433	1933
183	435	1930
184	437	1928
185	440	1925
186	442	1922
187	444	1919
188	446	1917
189	449	1915
190	451	1912
191	453	1909
192	455	1906
193	458	1904
194	460	1901
195	462	1898
196	465	1896
197	467	1894
198	469	1891
199	472	1888
200	474	1886
201	476	1884
202	479	1882
203	481	1879
204	483	1876
205	486	1875
206	488	1872
207	490	1869
208	493	1867
209	495	1864
210	497	1861
211	500	1859
212	502	1856
213	504	1853
214	506	1850
215	509	1848
216	511	1845
217	513	1843
218	516	1840
219	518	1837
220	520	1835
221	522	1832
222	525	1829
223	527	1827
224	529	1824
225	532	1822
226	534	1819
227	536	1817
228	538	1814
229	541	1812
230	543	1809
231	545	1806
232	548	1804
233	550	1802
234	553	1800
235	555	1798
236	557	1795
237	560	1793
238	562	1790
239	564	1787
240	566	1785
241	569	1782
242	571	1780
243	574	1778
244	576	1776
245	578	1773
246	581	1771
247	583	1769
248	585	1766
249	588	1764
250	590	1761
251	592	1759
252	595	1757
253	597	1754
254	599	1752
255	602	1750
256	604	1747
257	606	1744
258	608	1742
259	611	1739
260	613	1736
261	615	1734
262	618	1732
263	620	1729
264	622	1727
265	625	1725
266	627	1722
267	629	1720
268	632	1717
269	634	1715
270	636	1712
271	639	1710
272	641	1708
273	644	1706
274	646	1703
275	648	1701
276	650	1698
277	653	1696
278	655	1694
279	657	1691
280	660	1689
281	662	1686
282	664	1684
283	666	1681
284	669	1679
285	671	1677
286	674	1674
287	676	1672
288	678	1669
289	681	1667
290	683	1664
291	685	1662
292	688	1661
293	690	1658
294	693	1656
295	695	1653
296	697	1651
297	699	1648
298	702	1646
299	704	1643
300	706	1641
301	709	1639
302	711	1637
303	713	1634
304	716	1632
305	718	1630
306	721	1629
307	724	1627
308	726	1625
309	729	1623
310	731	1621
311	734	1618
312	736	1616
313	738	1614
314	740	1611
315	743	1609
316	745	1606
317	748	1604
318	750	1602
319	752	1599
320	755	1597
321	757	1594
322	759	1592
323	762	1590
324	764	1587
325	766	1585
326	769	1583
327	771	1581
328	774	1578
329	776	1576
330	778	1574
331	781	1571
332	783	1569
333	785	1566
334	788	1564
335	790	1562
336	792	1559
337	795	1557
338	797	1554
339	799	1552
340	802	1550
341	804	1547
342	806	1545
343	808	1542
344	811	1540
345	813	1537
346	815	1535
347	818	1533
348	820	1530
349	822	1528
350	825	1525
351	827	1523
352	829	1520
353	832	1518
354	834	1516
355	836	1513
356	839	1511
357	841	1509
358	843	1506
359	846	1504
360	848	1502
361	851	1500
362	853	1497
363	855	1495
364	858	1492
365	860	1490
366	862	1488
367	865	1485
368	867	1483
369	869	1481
370	872	1478
371	874	1476
372	876	1473
373	879	1471
374	881	1469
375	884	1467
376	886	1465
377	889	1462
378	891	1460
379	894	1458
380	896	1456
381	899	1454
382	901	1452
383	903	1449
384	906	1447
385	908	1445
386	910	1442
387	913	1440
388	915	1438
389	918	1435
390	920	1433
391	922	1431
392	925	1428
393	927	1426
394	929	1424
395	932	1421
396	934	1419
397	936	1417
398	939	1414
399	941	1412
400	943	1410
401	946	1407
402	948	1405
403	950	1402
404	953	1400
405	955	1398
406	957	1395
407	960	1393
408	962	1390
409	964	1388
410	967	1386
411	969	1383
412	971	1381
413	974	1378
414	976	1376
415	978	1374
416	981	1371
417	983	1369
418	985	1367
419	988	1364
420	990	1362
421	992	1359
422	995	1357
423	997	1355
424	999	1352
425	1002	1350
426	1004	1347
427	1006	1345
428	1009	1343
429	1011	1340
430	1013	1338
431	1016	1336
432	1018	1333
433	1021	1331
434	1023	1329
435	1025	1326
436	1027	1324
437	1030	1322
438	1032	1319
439	1035	1317
440	1037	1314
441	1039	1312
442	1042	1310
443	1044	1308
444	1047	1306
445	1049	1303
446	1052	1301
447	1054	1299
448	1057	1297
449	1059	1294
450	1061	1292
451	1064	1290
452	1066	1288
453	1069	1286
454	1072	1284
455	1074	1282
456	1077	1280
457	1080	1278
458	1083	1277
459	1086	1275
460	1089	1273
461	1091	1271
462	1094	1269
463	1097	1267
464	1100	1265
465	1103	1264
466	1105	1262
467	1108	1259
468	1110	1257
469	1113	1255
470	1116	1253
471	1119	1252
472	1122	1250
473	1124	1247
474	1126	1245
475	1129	1243
476	1132	1241
477	1135	1239
478	1137	1237
479	1140	1235
480	1142	1233
481	1149	1234
482	1155	1237
483	1161	1238
484	1167	1239
485	1172	1239
486	1177	1239
487	1180	1238
488	1183	1236
489	1186	1234
490	1189	1232
491	1193	1232
492	1197	1231
493	1200	1230
494	1203	1227
495	1205	1225
496	1208	1222
497	1210	1220
498	1213	1217
499	1215	1215
500	1217	1213
501	1220	1210
502	1222	1208
503	1225	1205
504	1227	1203
505	1229	1200
506	1232	1198
507	1234	1195
508	1237	1193
509	1239	1191
510	1242	1188
511	1244	1186
512	1247	1184
513	1249	1181
514	1252	1179
515	1254	1176
516	1256	1174
517	1259	1172
518	1262	1169
519	1264	1167
520	1267	1164
521	1269	1162
522	1271	1160
523	1274	1157
524	1276	1155
525	1279	1152
526	1281	1150
527	1284	1148
528	1286	1145
529	1289	1143
530	1291	1141
531	1294	1138
532	1296	1136
533	1299	1134
534	1301	1131
535	1304	1129
536	1306	1126
537	1309	1124
538	1312	1122
539	1315	1120
540	1317	1117
541	1320	1115
542	1322	1113
543	1324	1110
544	1327	1108
545	1329	1105
546	1332	1103
547	1334	1100
548	1337	1098
549	1339	1096
550	1342	1093
551	1344	1091
552	1347	1088
553	1349	1086
554	1351	1083
555	1354	1081
556	1356	1079
557	1359	1076
558	1361	1074
559	1364	1071
560	1366	1069
561	1368	1066
562	1371	1064
563	1373	1061
